dd,mm,zz,pp,departamento,municipio,puesto,mujeres,hombres,total,mesas,comuna,dirección,LATITUD,LONGITUD
01,1.0,15.0,05,ANTIOQUIA,MEDELLIN,SEC.ESC.JULIA AGUDELO,11550,8837,20387,6,08COMUNA 8 VILLA HERMOSA,CL 58 # 28-58,6.24982456301068,-75.54891756232233
01,1.0,15.0,06,ANTIOQUIA,MEDELLIN,SEC.ESC.NIÑO JESUS DE PRAGA,2215,1514,3729,1,08COMUNA 8 VILLA HERMOSA,CALLE 57C No. 23-200,6.248594250527947,-75.5458064015143
01,1.0,15.0,07,ANTIOQUIA,MEDELLIN,I.E.SOL DE ORIENTE,1902,1635,3537,1,08COMUNA 8 VILLA HERMOSA,CARRERA 23 No. 56EH - 200,6.244889590084709,-75.54073509990796
01,1.0,15.0,08,ANTIOQUIA,MEDELLIN,I.E. LUIS CARLOS GALAN SARMIENTO,2338,2189,4527,2,08COMUNA 8 VILLA HERMOSA,CRA 24B No 57EE-45,6.250286244804385,-75.54672604249522
01,1.0,15.0,09,ANTIOQUIA,MEDELLIN,IE ESC NORMAL SUPERIOR DE MEDELLIN,1147,969,2116,1,08COMUNA 8 VILLA HERMOSA,CRA 34 No 65 - 02,6.254047246029406,-75.5487256699892
01,1.0,16.0,01,ANTIOQUIA,MEDELLIN,SEC. ESC. VILLA TURBAY,2614,2031,4645,2,08COMUNA 8 VILLA HERMOSA,KR 2 # 55F-17,6.235827896542419,-75.53011677295467
01,1.0,16.0,02,ANTIOQUIA,MEDELLIN,SECCION ESCUELA HOGAR ANTIOQUIA,1704,1297,3001,1,08COMUNA 8 VILLA HERMOSA,CR 12 52 42,6.234071091503373,-75.53891675059553
01,1.0,16.0,03,ANTIOQUIA,MEDELLIN,SEC ESC SOR MARIA LUISA COURBIN,4576,3475,8051,3,08COMUNA 8 VILLA HERMOSA,KR 12 # 52-44,6.2337510240793605,-75.5383920851601
01,1.0,16.0,04,ANTIOQUIA,MEDELLIN,I.E. SAN FRANCISCO DE ASIS,4161,3481,7642,2,08COMUNA 8 VILLA HERMOSA,CL 56 # 16-18,6.238573407723829,-75.53954748345456
01,1.0,16.0,05,ANTIOQUIA,MEDELLIN,IE FELIX HENAO BOTERO,4128,3517,7645,2,08COMUNA 8 VILLA HERMOSA,CLL 52 No 23-51,6.24091294655442,-75.54666277642798
01,1.0,16.0,06,ANTIOQUIA,MEDELLIN,IE GABRIEL GARCIA MARQUEZ,539,396,935,1,08COMUNA 8 VILLA HERMOSA,CRA 8A No. 57A - 93,6.236653236721258,-75.53344140255867
01,1.0,17.0,01,ANTIOQUIA,MEDELLIN,I.E.GUADALUPANO LA SALLE,6862,5433,12295,4,09COMUNA 9 BUENOS AIRES,CALLE 49 No. 17 B 21,6.236337309657036,-75.54431729645347
01,1.0,17.0,02,ANTIOQUIA,MEDELLIN,IE MERCEDITAS GOMEZ MARTINEZ,6275,4781,11056,3,09COMUNA 9 BUENOS AIRES,CL 45 # 18-03,6.233712173337637,-75.54671297115149
01,1.0,17.0,03,ANTIOQUIA,MEDELLIN,I.E. MANUEL JOSÉ CAYZEDO,5266,4641,9907,3,09COMUNA 9 BUENOS AIRES,CL 50 29 82,6.24148474040795,-75.55218120997276
01,1.0,17.0,04,ANTIOQUIA,MEDELLIN,I.E. LA MILAGROSA,10074,7956,18030,5,09COMUNA 9 BUENOS AIRES,KR 29 # 41-14,6.23523297056735,-75.55479396813332
01,1.0,17.0,05,ANTIOQUIA,MEDELLIN,COLEGIO EUCARISTICO,3200,2535,5735,2,09COMUNA 9 BUENOS AIRES,CRA 28 No 42-62,6.235542948086863,-75.5535961359991
01,1.0,17.0,06,ANTIOQUIA,MEDELLIN,SENA - SEDE BUENOS AIRES,1368,1420,2788,1,09COMUNA 9 BUENOS AIRES,CLL 48 No 28-00,6.239478594054427,-75.55230859999759
01,1.0,17.0,07,ANTIOQUIA,MEDELLIN,IE ARZOBISPO TULIO BOTERO SALAZAR,839,673,1512,1,09COMUNA 9 BUENOS AIRES,CLL 49A No 03A - 006,6.22995926801674,-75.53240750331742
01,1.0,17.0,08,ANTIOQUIA,MEDELLIN,IE MADRE LAURA,1202,1121,2323,1,09COMUNA 9 BUENOS AIRES,CLL 45 No 22A - 81,6.235315745007066,-75.55080624514028
01,1.0,17.0,09,ANTIOQUIA,MEDELLIN,SECCION ESCUELA ALEJANDRO ECHAVARRIA,970,926,1896,1,09COMUNA 9 BUENOS AIRES,CARRERA 16 NO 49B 8,6.234911193795979,-75.54241158000784
01,1.0,18.0,01,ANTIOQUIA,MEDELLIN,I.E. GABRIELA GOMEZ CARVAJAL,4840,4190,9030,3,09COMUNA 9 BUENOS AIRES,KR 32 # 34-06,6.231497399395633,-75.55982193977765
01,1.0,18.0,02,ANTIOQUIA,MEDELLIN,IE FEDERICO OZANAM,6851,6230,13081,4,09COMUNA 9 BUENOS AIRES,CRA.36 No 45 - 08,6.240489416975712,-75.55841591147276
01,1.0,18.0,03,ANTIOQUIA,MEDELLIN,ESC NORMAL SUPERIOR ANTIOQUEÑA,5276,4235,9511,3,09COMUNA 9 BUENOS AIRES,KR 36A # 48-55,6.242462578551722,-75.55820339762522
01,1.0,18.0,04,ANTIOQUIA,MEDELLIN,SEC. ESC. JOSE DE SAN MARTIN,6306,5247,11553,3,09COMUNA 9 BUENOS AIRES,CL 39 # 38- 21,6.237484302835961,-75.56275155575341
01,1.0,18.0,05,ANTIOQUIA,MEDELLIN,SEC. ESC. JUAN CANCIO RESTREPO,778,591,1369,1,09COMUNA 9 BUENOS AIRES,CLL 45 No 31-63,6.238473679804569,-75.55547004482867
01,1.0,19.0,01,ANTIOQUIA,MEDELLIN,I.E. TULIO OSPINA,5552,5457,11009,3,10COMUNA 10 LA CANDELARIA,CL 60 51 48,6.2591381868792855,-75.56616475465285
01,1.0,19.0,02,ANTIOQUIA,MEDELLIN,SEC. COL. AGUSTIN NIETO CABALLERO,1481,1246,2727,1,10COMUNA 10 LA CANDELARIA,KR 40 # 59A-21,6.252667071274136,-75.5573188063355
